Sentence,NER
"the purchases increased his holding in the company to 725,900 shares , which was purchased for a total of $ 6.2 million , he said .",O O O O O O O O O O O O O O O O O O O O O O O O O O
"buffett , who is well-known as a long-term investor , is chairman of berkshire hathaway inc , a holding company through which he holds investments in several large u.s. companies .",I-PER O O O O O O O O O O O O I-ORG I-ORG I-ORG O O O O O O O O O O O O I-LOC O O
-docstart-,O
"colombia , u.s. reach aviation agreement .",I-LOC O I-LOC O O O O
miami 1996-08-23,I-LOC O
"the u.s. and colombian governments reached an agreement that will allow amr corp 's american airlines to operate three round-trip flights between new york and bogota , the department of transportation said friday .",O I-LOC O I-MISC O O O O O O O I-ORG I-ORG O I-ORG I-ORG O O O O O O I-LOC I-LOC O I-LOC O O I-ORG I-ORG I-ORG O O O
"under the agreement , which followed talks in miami this week , amr also will be allowed to shift up to four of the weekly flights it now operates between miami and colombia to its new york gateway .",O O O O O O O O I-LOC O O O I-ORG O O O O O O O O O O O O O O O O O I-LOC O I-LOC O O I-LOC I-LOC O O
the united states also will be able to designate one new all-cargo carrier for service between the two nations after two years .,O I-LOC I-LOC O O O O O O O O O O O O O O O O O O O O
"colombia was permitted to add a single additional round-trip flight to its current new york service , although it will not be able to do so while under category two ( conditional ) status under the federal aviation administration 's international aviation safety program .",I-LOC O O O O O O O O O O O O I-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG O I-MISC I-MISC I-MISC I-MISC O
"colombia would be allowed to add new service when its safety assessment has been improved , the department said .",I-LOC O O O O O O O O O O O O O O O O O O O
"with the exception of the new services just agreed to , the governments of the two nations have agreed to maintain their current level of routes and airlines for the next 2-1/2 years , the agreement said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"the agreement resolved a dispute that arose in june when colombia turned down american 's request to operate flights between new york and bogota , a denial that prompted the united states to charge that the colombians were breaking a bilateral aviation agreement and to propose sanctions against one of two colombian airlines , avianca and aces .",O O O O O O O O O O I-LOC O O I-ORG O O O O O O I-LOC I-LOC O I-LOC O O O O O O I-LOC I-LOC O O O O I-MISC O O O O O O O O O O O O O O I-MISC O O I-ORG O I-ORG O
-docstart-,O
clean tanker fixtures and enquiries - 1754 gmt .,O O O O O O O I-MISC O
london 1996-08-23,I-LOC O
latest fixtures,O O
- mideast gulf / red sea,O I-LOC I-LOC O I-LOC I-LOC
konpolis 75 1/9 mideast / indonesia w112.5 kpc .,I-ORG O O I-LOC O I-LOC O I-ORG O
"tbn 30 6/9 mideast / w.c. india w200 , e.c.india w195 ioc .",I-ORG O O I-LOC O I-LOC I-LOC O O I-LOC O I-ORG O
- asia pacific,O I-LOC I-LOC
"petrobulk rainbow 28 24/8 okinawa / inchon $ 190,000 honam .",I-ORG I-ORG O O I-LOC O I-LOC O O I-ORG O
- med / black sea,O I-LOC O I-LOC I-LOC
"tbn 30 15/9 constanza / inia $ 700,000 ioc .",I-ORG O O I-LOC O I-LOC O O I-ORG O
- uk / cont,O I-LOC O O
"port christine 36,5 3/9 pembroke / us w145 stentex .",I-ORG I-ORG O O I-LOC O I-LOC O I-ORG O
- western hemisphere,O I-LOC I-LOC
kpaitan stankov 69 31/8 st croix / usac w125 hess .,I-ORG I-ORG O O I-LOC I-LOC O I-LOC O I-ORG O
"ap moller 30 31/8 caribs / japan $ 875,000 bp .",I-ORG I-ORG O O I-LOC O I-LOC O O I-ORG O
tiber 29 2/9 caribs / options w265 stinnes .,I-ORG O O I-LOC O O O I-ORG O
------------------------------------------------------------,O
- midday fixtures,O O O
- mideast gulf / red sea,O I-LOC I-LOC O I-LOC I-LOC
tenacity 70 24/08 mideast / south korea w145 samsung .,I-ORG O O I-LOC O I-LOC I-LOC O I-ORG O
sks tana 70 03/09 mideast / japan w145 cnr .,I-ORG I-ORG O O I-LOC O I-LOC O I-ORG O
northsea chaser 55 12/09 mideast / japan w167.5 jomo .,I-ORG I-ORG O O I-LOC O I-LOC O I-ORG O
sibonina 55 13/09 red sea / japan w160 marubeni .,I-ORG O O I-LOC I-LOC O I-LOC O I-ORG O
- asia / pacific,O I-LOC O I-LOC
"neptune crux 30 02/09 singapore / options $ 185,000 sietco .",I-ORG I-ORG O O I-LOC O O O O I-ORG O
world bridge 30 03/09 south korea / japan rnr cnr .,I-ORG I-ORG O O I-LOC I-LOC O I-LOC O I-ORG O
"fulmar 30 28/08 ulsan / yosu $ 105,000 lg caltex .",I-ORG O O I-LOC O I-LOC O O I-ORG I-ORG O
- med / black sea,O I-LOC O I-LOC I-LOC
hemina 33 05/09 eleusis / ukcm w155 cnr .,I-ORG O O I-ORG O I-ORG O I-ORG O
"-- london newsroom , +44 171 542 8980",O I-ORG I-ORG O O O O O
-docstart-,O
cricket - pakistan 229-1 v england - close .,O O I-LOC O O I-LOC O O O
saeed anwar not out 116,I-PER I-PER O O O
aamir sohail c cork b croft 46,I-PER I-PER O I-PER O I-PER O
ijaz ahmed not out 58,I-PER I-PER O O O
extras 9,O O
fall of wicket - 1-106,O O O O O
"to bat - inzamam-ul-haq , salim malik , asif mujtaba , wasim akram , moin khan , mushtaq ahmed , waqar younis , mohammad akam",O O O I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER
england 326 all out,I-LOC O O O
-docstart-,O
rtrs - golf : norman sacks his coach after disappointing season .,I-ORG O O O I-PER O O O O O O O
sydney 1996-08-23,I-LOC O
world number one golfer greg norman has sacked his coach butch harmon after a disappointing season .,O O O O I-PER I-PER O O O O I-PER I-PER O O O O O
""" butch and i are finished , "" norman told reporters on thursday before the start of the world series of golf in akron , ohio .",O I-PER O O O O O O I-PER O O O O O O O O O I-MISC I-MISC I-MISC I-MISC O I-LOC O I-LOC O
"norman , a two-time british open champion , parted ways with his long-time mentor after drawing a blank in this year 's four majors , winning two tournaments worldwide .",I-PER O O O I-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O
"the blonde australian opened with a level par round of 70 in akron , leaving him four shots adrift of the leaders , americans billy mayfair and paul goydos and japan 's hidemichi tanaki .",O O I-MISC O O O O O O O O O I-LOC O O O O O O O O O O I-MISC I-PER I-PER O I-PER I-PER O I-LOC O I-PER I-PER O
"on wednesday norman described this year as his worst on the professional circuit since 1991 , when he failed to win a tournament .",O O I-PER O O O O O O O O O O O O O O O O O O O O O
""" my application this year has been strange , "" norman said . """,O O O O O O O O O O I-PER O O O
"maybe i have n't been as keyed up as i should have been . """,O O O O O O O O O O O O O O O
""" sometimes you do n't have it in your head to play .",O O O O O O O O O O O O O
"maybe this was one of those years where i was there , but i was n't 100 percent there , and you have to be 100 percent to perform , "" he said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- sydney newsroom 61-2 9373-1800,O I-ORG I-ORG O O
-docstart-,O
soccer - arab team breaks new ground in israel .,O O I-MISC O O O O O I-LOC O
ori lewis,I-PER I-PER
"taibe , israel 1996-08-23",I-LOC O I-LOC O
"for the first time in israeli history , an arab team will take the field when the national league soccer season starts on saturday .",O O O O O I-MISC O O O I-MISC O O O O O O O I-MISC I-MISC O O O O O O
hapoel taibe fields four jewish players and two foreign imports -- a pole and a romanian .,I-ORG I-ORG O O I-MISC O O O O O O O I-MISC O O I-MISC O
the rest of the side is made up mainly of moslem arabs .,O O O O O O O O O O I-MISC I-MISC O
"the club , founded in 1961 , has a loyal following in taibe , an arab town of 28,000 in the heart of israel .",O O O O O O O O O O O O I-LOC O O I-MISC O O O O O O O I-LOC O
"but away from their home ground , they face unfriendly crowds who taunt the players with racist abuse .",O O O O O O O O O O O O O O O O O O O
""" the very first thing we thought about after we knew we would be promoted was the game against betar jerusalem , "" said taibe supporter karem haj yihye .",O O O O O O O O O O O O O O O O O O O I-ORG I-ORG O O O I-ORG O I-PER I-PER I-PER O
"two weeks ago taibe , coached by pole wojtek lazarek , met betar , a club closely associated with the right-wing likud party , for the first time in a cup match in jerusalem .",O O O I-ORG O O O I-MISC I-PER I-PER O O I-ORG O O O O O O O O I-ORG O O O O O O O O I-MISC O O I-LOC O
"chants from the crowd of "" death to the arabs "" , and bottle-throwing during the game marred the match which ended in a goalless draw .",O O O O O O O O O I-MISC O O O O O O O O O O O O O O O O O
one taibe supporter required hospital treatment for cuts and bruises after a stone struck his head as he was driving from the stadium .,O I-ORG O O O O O O O O O O O O O O O O O O O O O O
""" we 're used to hearing the taunts of "" death to the arabs ' , "" said sameh haj yihye , a taibe resident who studies at jerusalem 's hebrew university . """,O O O O O O O O O O O O O I-MISC O O O O I-PER I-PER I-PER O O I-LOC O O O O I-LOC O I-ORG I-ORG O O
"but we know that these are only words , nobody has died from hearing them and it only makes us support our team more vehemently . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O
the dusty town of taibe lacks the amenities of jewish communities and many israeli arabs have long complained of state discrimination .,O O O O I-LOC O O O O I-MISC O O O I-MISC I-MISC O O O O O O O
""" there are no parks or empty areas of land around here , so when we want to play a friendly game of soccer we all load up in the car and travel to tel aviv , "" 60 km ( 36 miles ) away , sameh haj yihye said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-LOC I-LOC O O O O O O O O O O I-PER I-PER I-PER O O
"the town 's ramshackle 2,500-seat ground is accessible only by two dirt tracks .",O O O O O O O O O O O O O O
""" we plan to build a 10,000-seat stadium , but it may well be situated elsewhere , "" said club chairman abdul rahman haj yihye . """,O O O O O O O O O O O O O O O O O O O O O I-PER I-PER I-PER I-PER O O
"we will discuss this with the mayor and hopefully a new or refurbished ground will be completed by the start of the new year . """,O O O O O O O O O O O O O O O O O O O O O O O O O O
"in the meantime , taibe will play all their heavily policed home matches at the jewish coastal town of netanya .",O O O O I-ORG O O O O O O O O O O I-MISC O O O I-LOC O
""" we are israelis , there is no question about that , "" said karem haj yihye , a hotel waiter .",O O O I-MISC O O O O O O O O O O I-PER I-PER I-PER O O O O O
""" we do n't have any connection with the palestinians , they live over there , "" he said , pointing to the west bank seven km ( four miles ) to the east .",O O O O O O O O O I-MISC O O O O O O O O O O O O O I-LOC I-LOC O O O O O O O O O O
""" we do n't feel our club represents palestinian arabs , "" said club chairman abdul rahman . """,O O O O O O O O I-MISC I-MISC O O O O O I-PER I-PER O O
"we are trying to do all we can to run a professional outfit , we are pleased at any support we get , but do not go out looking to represent the whole arab world . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-MISC O O O
-docstart-,O
soccer - kennedy and phelan both out of irish squad .,O O I-PER O I-PER O O O I-MISC O O
dublin 1996-08-23,I-LOC O
"two players have withdrawn from the republic of ireland squad for the 1998 world cup qualifying match against liechenstein on august 31 , the football association of ireland said in a statement on friday .",O O O O O O I-LOC I-LOC I-LOC O O O O I-MISC I-MISC O O O I-LOC O O O O O I-ORG I-ORG I-ORG I-ORG O O O O O O O
the f.a.i. statement said that liverpool striker mark kennedy and chelsea defender terry phelan were both receiving treatment for injuries and would not be travelling to liechenstein for the game .,O I-ORG O O O I-ORG O I-PER I-PER O I-ORG O I-PER I-PER O O O O O O O O O O O O I-LOC O O O O
no replacements had been named .,O O O O O O
"-- damien lynch , dublin newsroom +353 1 6603377",O I-PER I-PER O I-ORG I-ORG O O O
-docstart-,O
soccer - manchester united face juventus in europe .,O O I-ORG I-ORG O I-ORG O I-LOC O
geneva 1996-08-23,I-LOC O
european champions juventus will face english league and cup double winners manchester united in this season 's european champions ' league .,I-MISC O I-ORG O O I-MISC O O O O O I-ORG I-ORG O O O O I-MISC I-MISC I-MISC I-MISC O
"the draw made on friday pitted juventus , who beat dutch champions ajax amsterdam 4-2 on penalties in last year 's final , against alex ferguson 's european hopefuls in group c .",O O O O O O I-ORG O O O I-MISC O I-ORG I-ORG O O O O O O O O O O I-PER I-PER O I-MISC O O O O O
the other two teams in the group are last season 's cup winners ' cup runners-up rapid vienna and fenerbahce of turkey .,O O O O O O O O O O O I-MISC I-MISC I-MISC I-MISC O I-ORG I-ORG O I-ORG O I-LOC O
"juventus meet united in turin on september 11 , with the return match at old trafford on november 20 .",I-ORG O I-ORG O I-LOC O O O O O O O O O I-LOC I-LOC O O O O
"united have dominated the premier league in the 1990s , winning three english championships in four years , but have consistently failed in europe , crashing out of the european cup to galatasaray of turkey and spain 's barcelona at their last two attempts .",I-ORG O O O O O O O O O O O I-MISC O O O O O O O O O O I-LOC O O O O O I-MISC I-MISC O I-ORG O I-LOC O I-LOC O I-ORG O O O O O O
"they have not lifted a european trophy since 1991 when they beat barcelona in the cup winners ' cup final , and their one and only european cup triumph was way back in 1968 , when they beat benfica of portugal 4-1 at wembley .",O O O O O I-MISC I-MISC O O O O O I-ORG O O I-MISC I-MISC I-MISC I-MISC O O O O O O O I-MISC I-MISC O O O O O O O O O O I-ORG O I-LOC O O I-LOC O
juventus have won the european cup twice .,I-ORG O O O I-MISC I-MISC O O
before conquering ajax last year they beat united 's big english rivals liverpool in the ill-fated 1985 final in the heysel stadium in brussels .,O O I-ORG O O O O I-ORG O O I-MISC O I-ORG O O O O O O O I-LOC O O I-LOC O
-docstart-,O
nigeria police kill six robbery suspects .,I-LOC O O O O O O
lagos 1996-08-23,I-LOC O
"nigerian police shot dead six robbery suspects as they tried to escape from custody in the northern city of sokoto , the national news agency reported on friday .",I-MISC O O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O
the news agency of nigeria ( nan ) quoted police spokesman umar shelling as saying the six were killed on wednesday .,O I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O I-PER I-PER O O O O O O O O O
"they had been arrested last week for stealing 800,000 naira ( $ 10,000 ) from a sheep merchant .",O O O O O O O O O O O O O O O O O O O
-docstart-,O
rwandan group says expulsion could be imminent .,I-MISC O O O O O O O
nairobi 1996-08-23,I-LOC O
"repatriation of 1.1 million rwandan hutu refugees announced by zaire and rwanda on thursday could start within the next few days , an exiled rwandan hutu lobby group said on friday .",O O O O I-MISC I-MISC O O O I-LOC O I-LOC O O O O O O O O O O O O I-MISC I-MISC O O O O O O
"innocent butare , executive secretary of the rally for the return of refugees and democracy in rwanda ( rdr ) which says it has the support of rwanda 's exiled hutus , appealed to the international community to deter the two countries from going ahead with what it termed a "" forced and inhuman action "" .",I-PER I-PER O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O O O O O I-LOC O O I-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O
-docstart-,O
orthodox church blown up in southern croatia .,O O O O O O I-LOC O
zagreb 1996-08-23,I-LOC O
"saboteurs blew up a serb orthodox church in southern croatia on friday with a blast which also damaged four nearby homes , the state news agency hina reported .",O O O O I-MISC O O O O I-LOC O O O O O O O O O O O O O O O O I-ORG O O
"hina said the church in the small village of karin gornji , 30 km ( 19 miles ) north of zadar , was destroyed by the morning attack .",I-ORG O O O O O O O O I-LOC I-LOC O O O O O O O O O I-LOC O O O O O O O O
it did not report any casualties .,O O O O O O O
zadar police said in a statement they had launched an investigation and were doing their best to find the perpetrators .,I-LOC O O O O O O O O O O O O O O O O O O O O
"hina said it was the first time an orthodox church had been blown up in the zadar hinterland , where a large number of serbs lived before the 1991 war over croatia 's independence from the yugoslav federation .",I-ORG O O O O O O O O O O O O O O O I-LOC O O O O O O O I-MISC O O O O O O I-LOC O O O O I-MISC O O
the area was part of the self-styled state of krajina proclaimed by minority serbs in 1991 and recaptured by the croatian army last year .,O O O O O O O O O I-LOC O O O I-MISC O O O O O O I-MISC O O O O
"up to 200,000 serbs fled to bosnia and yugoslavia , leaving krajina vacant and depopulated .",O O O I-MISC O O I-LOC O I-LOC O O I-LOC O O O O
-docstart-,O
hungary 's gross foreign debt rises in june .,I-LOC O O O O O O O O
budapest 1996-08-23,I-LOC O
"hungary 's gross foreign debt rose to $ 27.53 billion in june from $ 27.25 billion in may , the",I-LOC O O O O O O O O O O O O O O O O O O O
national bank of hungary ( nbh ) said on friday .,I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O O
figures in $ million june 1996 may 1996,O O O O O O O O
"gross foreign debt 27,535.5 27,246.5",O O O O O
international reserves and,O O O
"other foreign assets 13,256.5 12,855.7",O O O O O
"net foreign debt 14,278.9 14,390.7",O O O O O
net foreign debt of the,O O O O O
"government and nbh 9,510.9 10,056.4",O O I-ORG O O
-- budapest newsroom ( 36 1 ) 266 2410,O I-LOC O O O O O O O
-docstart-,O
"germany , poland tighten cooperation against crime .",I-LOC O I-LOC O O O O O
warsaw 1996-08-23,I-LOC O
"germany and poland agreed on friday to tighten cooperation between their intelligence services in fighting international organised crime , pap news agency reported .",I-LOC O I-LOC O O O O O O O O O O O O O O O O I-ORG O O O O
"interior minister zbigniew siemiatkowski and bernd schmidbauer , german intelligence co-ordinator in helmut kohl 's chancellery , sealed the closer links during talks in warsaw .",I-ORG O I-PER I-PER O I-PER I-PER O I-MISC O O O I-PER I-PER O O O O O O O O O O I-LOC O
"ministry spokesman ryszard hincza told the polish agency the services would work together against mafia-style groups , drug smuggling and illegal trade in arms and radioactive materials .",O O I-PER I-PER O O I-MISC O O O O O O O O O O O O O O O O O O O O O
